TRAVELER_ID,GENDER,AGE_GRP,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3
e002396,남,40,41,41820,42,42210,28,28710,4,2,3,2,3,5,2,6,서울특별시,경기,2023-06-03~2023-06-04,2,1.0,3.0
e002589,여,60,50,50110,42,42150,26,26260,4,4,4,4,4,4,4,4,인천광역시,경기,2023-06-23~2023-06-24,3,2.0,1.0
e008089,남,40,42,42830,50,50130,41,41360,4,5,2,3,3,2,2,3,서울특별시,경기,2023-08-22~2023-08-22,3,7.0,1.0
e000962,여,30,42,42150,42,42230,41,41650,1,1,1,1,7,4,4,4,인천광역시,서울,2023-06-03~2023-06-03,2,1.0,
e002610,남,30,42,42820,48,48840,41,41820,1,2,1,2,7,4,7,2,경기도,경기,2023-06-30~2023-07-01,2,8.0,3.0
e002684,여,60,42,42210,11,11110,11,11290,5,5,5,6,1,1,7,1,서울특별시,경기,2023-07-08~2023-07-08,2,3.0,1.0
e011641,남,30,50,50110,26,26260,11,11590,3,2,2,2,2,2,3,6,서울특별시,경기,2023-08-27~2023-08-27,6,7.0,1.0
e003297,남,20,42,42210,41,41820,42,42110,1,1,1,1,2,1,1,7,경기도,서울,2023-06-18~2023-06-18,1,8.0,7.0
e009006,여,20,42,42150,41,41460,26,26350,6,4,5,3,5,6,1,5,서울특별시,인천,2023-08-24~2023-08-24,1,2.0,3.0
e004688,여,20,26,26350,42,42210,11,11680,5,1,2,6,7,1,7,3,강원도,서울,2023-07-09~2023-07-09,9,3.0,1.0
f000531,여,40,30,30200,45,45130,26,26350,4,2,4,5,7,4,4,6,경기도,부산,2023-05-26~2023-05-28,2,1.0,4.0
f009186,남,60,47,47820,47,47290,47,47130,2,7,4,2,4,3,4,6,대구광역시,경북,2023-08-27~2023-08-27,6,3.0,1.0
f016521,여,30,48,48310,50,50130,26,26710,3,2,2,1,1,6,2,7,경상남도,경북,2023-09-09~2023-09-09,8,3.0,1.0
f002539,남,50,48,48870,42,42150,11,11260,2,4,3,3,2,2,5,3,경상남도,경남,2023-06-03~2023-06-04,3,2.0,10.0
f005129,남,20,50,50110,47,47940,48,48220,1,1,1,4,2,3,7,2,대전광역시,경북,2023-07-31~2023-08-01,2,3.0,7.0
f006192,여,40,42,42150,50,50110,30,30170,5,5,4,5,6,5,5,3,서울특별시,강원,2023-08-21~2023-08-21,2,1.0,3.0
f003373,여,30,48,48310,48,48250,48,48330,1,3,1,3,2,1,1,7,부산광역시,경남,2023-06-25~2023-06-25,1,3.0,2.0
f004255,남,60,50,50130,26,26350,46,46130,3,4,4,3,3,4,4,5,대구광역시,부산,2023-07-20~2023-07-21,2,1.0,3.0
f001817,여,40,48,48120,48,48270,42,42760,2,2,2,7,7,4,6,5,서울특별시,경남,2023-05-27~2023-05-28,8,7.0,3.0
f004578,여,20,11,11650,43,43110,30,30140,5,5,3,1,6,5,6,6,세종특별자치시,부산,2023-07-15~2023-07-16,2,1.0,3.0
f002582,남,20,47,47820,47,47130,47,47290,6,4,2,2,4,4,4,7,대구광역시,경북,2023-06-09~2023-06-09,7,1.0,3.0
f000426,남,30,26,26230,26,26350,26,26260,6,2,6,4,3,3,2,2,경상남도,부산,2023-05-26~2023-05-28,7,6.0,2.0
f002464,여,30,50,50130,42,42150,46,46130,5,2,2,3,4,6,3,7,경기도,대구,2023-06-04~2023-06-05,6,1.0,3.0
f003444,여,20,26,26350,30,30140,42,42150,4,4,3,2,6,3,6,5,대구광역시,부산,2023-07-01~2023-07-01,5,1.0,2.0
f015565,남,40,47,47150,48,48220,30,30200,6,7,6,4,5,6,6,7,경상북도,대구,2023-09-05~2023-09-05,8,7.0,5.0
f005212,남,20,42,42830,50,50130,28,28720,4,2,4,3,2,6,1,3,경기도,강원,2023-08-05~2023-08-06,3,2.0,1.0
f002073,여,30,42,42210,41,41250,42,42150,2,1,4,1,4,6,3,7,서울특별시,강원,2023-05-29~2023-05-29,1,2.0,3.0
f003958,여,20,26,26350,50,50110,42,42150,4,1,2,2,3,4,6,7,인천광역시,강원,2023-07-22~2023-07-23,1,2.0,4.0
f000825,여,20,50,50130,42,42150,26,26350,1,1,4,3,1,3,2,6,서울특별시,부산,2023-06-04~2023-06-06,2,1.0,3.0
f008635,여,20,11,11680,41,41460,28,28177,2,1,1,3,2,2,2,6,인천광역시,강원,2023-08-22~2023-08-23,2,7.0,1.0
f001719,여,50,48,48840,26,26710,50,50130,1,1,2,2,2,1,2,5,경상남도,부산,2023-06-04~2023-06-04,1,2.0,6.0
f000918,여,20,11,11440,41,41360,42,42110,4,2,5,2,3,3,1,7,서울특별시,경북,2023-05-27~2023-05-28,3,7.0,10.0
f012540,여,20,46,46150,50,50110,50,50130,2,1,1,2,4,6,6,6,전라북도,대구,2023-09-09~2023-09-10,2,7.0,1.0
f001501,남,40,42,42830,28,28110,46,46710,2,3,5,4,2,4,4,7,경기도,강원,2023-05-26~2023-05-27,3,2.0,1.0
f002530,여,30,42,42830,42,42210,50,50130,1,6,4,7,7,4,6,2,서울특별시,강원,2023-06-06~2023-06-07,7,1.0,
f000392,여,40,41,41280,30,30200,28,28260,1,3,2,7,6,5,3,4,경기도,경북,2023-05-26~2023-05-29,8,3.0,2.0
f000876,여,50,50,50130,42,42170,46,46910,1,2,2,5,2,2,2,6,서울특별시,강원,2023-05-25~2023-05-26,7,2.0,4.0
f016347,여,40,47,47130,47,47830,47,47720,2,3,1,4,6,1,7,1,대구광역시,경북,2023-09-10~2023-09-10,8,1.0,4.0
f001137,남,30,50,50130,26,26350,42,42150,2,1,7,3,1,2,1,7,인천광역시,부산,2023-05-27~2023-05-29,1,3.0,9.0
f011576,여,40,48,48820,46,46130,48,48840,4,4,4,2,2,2,2,6,경상남도,경남,2023-08-26~2023-08-26,1,8.0,3.0
f002785,남,30,50,50110,42,42210,48,48840,3,1,4,4,4,3,6,7,서울특별시,대구,2023-06-05~2023-06-06,3,1.0,2.0
f015430,남,40,47,47150,50,50130,26,26350,2,2,2,5,5,2,2,7,대구광역시,경북,2023-09-02~2023-09-02,3,5.0,1.0
f009724,여,30,42,42150,42,42130,50,50110,2,7,7,4,7,1,7,4,인천광역시,강원,2023-09-09~2023-09-09,2,3.0,9.0
f001738,여,30,26,26350,47,47130,26,26710,6,6,2,1,2,3,3,7,울산광역시,경북,2023-05-27~2023-05-27,1,7.0,2.0
f015427,여,50,48,48820,48,48310,48,48860,1,4,2,2,2,2,5,3,경상남도,경남,2023-09-08~2023-09-08,3,2.0,6.0
f001047,남,40,50,50130,48,48310,42,42820,1,6,6,2,2,6,6,2,서울특별시,경남,2023-06-03~2023-06-05,1,2.0,3.0
f011579,여,50,50,50130,50,50110,42,42230,2,2,2,5,1,3,4,7,부산광역시,경북,2023-08-26~2023-08-26,7,1.0,3.0
f001013,여,30,26,26530,46,46150,46,46130,6,7,6,2,3,6,6,6,경상남도,경남,2023-05-20~2023-05-21,3,1.0,2.0
f008367,여,30,42,42170,30,30140,50,50110,3,2,2,3,5,3,6,4,서울특별시,강원,2023-08-19~2023-08-20,1,7.0,3.0
f015276,여,20,48,48850,50,50110,45,45730,1,1,4,3,1,1,7,7,경상남도,부산,2023-09-09~2023-09-09,4,1.0,5.0
f016414,여,20,50,50130,26,26500,27,27260,5,2,3,3,2,4,2,5,부산광역시,경남,2023-09-09~2023-09-09,6,7.0,1.0
f005512,여,20,50,50110,26,26350,41,41820,2,2,1,2,4,5,3,6,서울특별시,부산,2023-08-03~2023-08-03,1,6.0,7.0
f005780,남,30,11,11680,50,50110,47,47110,1,1,2,2,2,2,2,2,대구광역시,경북,2023-08-12~2023-08-13,3,1.0,2.0
f000834,남,40,26,26710,50,50130,42,42210,4,1,2,4,2,6,5,6,서울특별시,부산,2023-05-20~2023-05-21,1,2.0,3.0
f002612,여,20,50,50130,46,46130,26,26350,2,2,1,5,2,2,3,7,대전광역시,경북,2023-06-05~2023-06-06,2,1.0,7.0
f000894,남,20,26,26350,11,11680,42,42150,4,3,2,6,6,6,4,6,광주광역시,부산,2023-05-27~2023-05-28,1,7.0,2.0
f002505,여,20,42,42210,42,42150,11,11440,4,1,1,6,7,3,7,5,서울특별시,강원,2023-06-01~2023-06-02,1,5.0,
f004462,남,40,50,50110,50,50130,42,42210,4,2,4,4,3,6,1,2,인천광역시,강원,2023-07-29~2023-07-30,7,1.0,2.0
f005408,여,30,27,27110,31,31170,47,47730,4,6,6,6,2,6,7,6,부산광역시,대구,2023-08-12~2023-08-13,8,1.0,2.0
f007244,여,20,41,41820,43,43110,11,11410,4,6,3,6,5,6,3,3,강원도,강원,2023-08-15~2023-08-15,3,1.0,2.0
f015559,여,30,42,42170,50,50110,48,48850,2,5,2,5,5,2,5,6,서울특별시,강원,2023-09-11~2023-09-11,8,10.0,4.0
f014410,여,40,50,50110,42,42210,46,46130,4,2,3,4,2,6,2,5,서울특별시,강원,2023-09-09~2023-09-09,1,3.0,7.0
f016671,남,40,47,47130,47,47110,46,46230,2,3,1,3,6,4,4,3,대구광역시,경북,2023-09-16~2023-09-16,1,2.0,5.0
f011771,여,20,50,50110,50,50130,11,11170,5,5,7,6,7,6,3,1,대구광역시,부산,2023-09-12~2023-09-12,5,7.0,
f010822,남,20,26,26230,26,26710,47,47110,2,2,2,6,3,2,6,6,울산광역시,경북,2023-08-25~2023-08-26,2,5.0,4.0
f003966,여,20,50,50110,42,42150,28,28110,4,1,6,3,5,5,2,6,경기도,강원,2023-07-20~2023-07-21,1,2.0,
f001560,남,40,42,42760,50,50130,46,46820,2,5,2,3,6,2,2,5,충청남도,경남,2023-05-27~2023-05-28,6,7.0,3.0
f001196,남,30,42,42110,41,41360,11,11110,1,1,1,6,6,4,5,7,서울특별시,경남,2023-05-21~2023-05-22,7,8.0,3.0
f010933,남,40,42,42830,43,43800,41,41820,1,1,5,4,6,4,5,7,서울특별시,강원,2023-08-26~2023-08-27,3,8.0,7.0
f000769,여,20,26,26350,42,42150,11,11410,2,1,1,1,2,6,7,5,경기도,강원,2023-06-04~2023-06-06,2,1.0,3.0
f008403,여,40,50,50130,42,42820,26,26350,1,3,1,6,6,1,7,7,서울특별시,강원,2023-08-19~2023-08-20,8,1.0,7.0
f004461,여,20,42,42150,47,47130,26,26350,6,1,1,1,6,1,1,3,서울특별시,강원,2023-07-14~2023-07-15,3,2.0,1.0
f001327,여,20,45,45800,30,30110,46,46710,3,2,2,4,2,2,3,6,전라북도,경북,2023-05-26~2023-05-28,5,2.0,1.0
f013084,남,20,26,26710,26,26500,11,11680,6,3,3,3,6,3,3,6,대구광역시,부산,2023-08-26~2023-08-26,2,8.0,5.0
f001037,남,30,50,50130,42,42210,48,48310,4,2,2,2,3,4,2,6,서울특별시,강원,2023-06-03~2023-06-06,1,2.0,8.0
f012364,남,20,11,11680,27,27110,47,47170,4,2,4,2,4,4,4,4,경상북도,강원,2023-08-26~2023-08-27,3,7.0,2.0
f006388,여,50,48,48740,27,27110,47,47110,4,1,6,4,1,5,6,7,대구광역시,경남,2023-08-13~2023-08-13,8,,
f016106,여,20,42,42150,11,11710,50,50110,1,1,1,1,1,7,7,7,경기도,강원,2023-09-10~2023-09-10,1,6.0,7.0
f000905,여,20,42,42210,50,50110,48,48850,6,2,2,1,2,3,1,4,경기도,강원,2023-05-21~2023-05-22,2,1.0,7.0
f001696,여,60,50,50130,48,48840,46,46130,2,4,2,3,4,6,3,2,울산광역시,경남,2023-06-02~2023-06-03,4,1.0,3.0
f000431,남,20,47,47110,50,50130,42,42150,2,2,1,1,4,5,2,6,서울특별시,강원,2023-05-21~2023-05-21,3,1.0,7.0
f004588,여,60,50,50130,42,42150,48,48310,4,2,1,2,4,2,2,3,충청북도,강원,2023-07-16~2023-07-17,1,,
f010463,여,40,50,50130,11,11410,26,26710,4,3,1,4,4,1,1,6,울산광역시,부산,2023-08-26~2023-08-26,8,7.0,3.0
