TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g000698,G03,g000698,2;22;23,2023-05-28,2023-05-29,자가용,전라권 방문/호남권 거주/39세 이하/3인 이상 친구/일반미션,2;22;23,2;6;9
g_g000699,G04,g000699,1;10;2;25;9,2023-05-20,2023-05-22,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;10;2;25;9,1;9;21
g_g000701,G06,g000701,22;24;1,2023-05-27,2023-05-29,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,22;24;1,1;7;23
g_g000702,G02,g000702,10;2;3;5;8,2023-06-03,2023-06-07,자가용,전라권 방문/호남권 외 거주/40세 이상/자녀동반/일반미션,10;2;3;5;8,2;10;12
g_g000703,G03,g000703,2;21;22;26;9,2023-05-28,2023-05-30,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,2;21;22;26;9,2;9;21
g_g000709,G02,g000709,12;22;24;28;3,2023-06-02,2023-06-05,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/나홀로 여행/일반미션,12;22;24;28;3,3;13;22
g_g000710,G02,g000710,1;2;3;4;4;2;9;10;7;12;21;22;23;24;26;1;28,2023-05-25,2023-05-28,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/나홀로 여행/일반미션,1;2;3;4;4;2;9;10;7;12;21;22;23;24;26;1;28,7;23;2
g_g000712,G02,g000712,21;27;6;9,2023-06-03,2023-06-05,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/나홀로 여행/일반미션,21;27;6;9,9;6;21
g_g000714,G05,g000714,8,2023-06-10,2023-06-12,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,8,8;3;21
g_g000716,G04,g000716,21;22;23;27,2023-06-04,2023-06-06,자가용,대전 방문/거주지 구분 없음/39세 이하/특별미션,21;22;23;27,21;22;1
g_g000717,G03,g000717,1;12;13;2;22,2023-05-23,2023-05-24,자가용,전라권 방문/호남권 거주/39세 이하/부모 동반/일반미션,1;12;13;2;22,2;24;11
g_g000719,G06,g000719,10;2;3;4;5,2023-05-27,2023-05-30,자가용,충청권 방문/충청권 외 거주/39세 이하/자녀동반/일반미션,10;2;3;4;5,2;6;10
g_g000722,G06,g000722,8;21;3;28,2023-05-28,2023-05-30,자가용,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,8;21;3;28,3;8;6
g_g000726,G06,g000726,21;22;23;24;26,2023-06-06,2023-06-09,대중교통 등,충남 방문/거주지 구분 없음/40세 이상/특별미션,21;22;23;24;26,2;3;10
g_g000727,G01,g000727,11;21;27;9,2023-05-20,2023-05-22,자가용,광주 방문/거주지 구분 없음/40세 이상/특별미션,11;21;27;9,3;11;13
g_g000729,G04,g000729,21;22;23;4;1,2023-05-21,2023-05-23,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,21;22;23;4;1,21;4;1
g_g000730,G06,g000730,10;26;27;5,2023-05-20,2023-05-22,자가용,충청권 방문/충청권 외 거주/39세 이하/자녀동반/일반미션,10;26;27;5,2;26;21
g_g000732,G06,g000732,11;22,2023-06-03,2023-06-06,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,11;22,6;2;22
g_g000734,G02,g000734,2;21;22;26,2023-05-27,2023-05-29,자가용,전라권 방문/호남권 거주/39세 이하/부모 동반/일반미션,2;21;22;26,21;22;2
g_g000735,G06,g000735,21;22,2023-06-04,2023-06-07,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,21;22,11;21;22
g_g000736,G06,g000736,21;22,2023-05-26,2023-05-28,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,21;22,21;6;22
g_g000742,G05,g000742,22;4;7,2023-05-26,2023-05-28,자가용,충청권 방문/충청권 외 거주/39세 이하/3인 이상 친구/일반미션,22;4;7,22;7;1
g_g000743,G05,g000743,10;11;2;23;5,2023-06-04,2023-06-06,자가용,충청권 방문/충청권 외 거주/39세 이하/3인 이상 친구/일반미션,10;11;2;23;5,2;10;27
g_g000747,G02,g000747,2;3,2023-05-20,2023-05-22,자가용,전라권 방문/호남권 외 거주/39세 이하/자녀동반/일반미션,2;3,2;6;4
g_g000751,G05,g000751,21;22;8,2023-05-22,2023-05-24,자가용,충청권 방문/충청권 거주/39세 이하/부부/일반미션,21;22;8,8;21;22
g_g000754,G03,g000754,1;2;3;4;6,2023-06-03,2023-06-07,대중교통 등,전라권 방문/호남권 외 거주/40세 이상/3인 이상 친구/일반미션,1;2;3;4;6,1;6;24
g_g000756,G01,g000756,27;28;3;4;6,2023-06-04,2023-06-06,대중교통 등,광주 방문/거주지 구분 없음/40세 이상/특별미션,27;28;3;4;6,2;3;6
g_g000758,G02,g000758,1;2;3;4;5;6;7;8;9;10;11;12;13;22;21;23;24;25;26;27;28,2023-06-07,2023-06-10,자가용,전북 방문/거주지 구분 없음/39세 이하/특별미션,1;2;3;4;5;6;7;8;9;10;11;12;13;22;21;23;24;25;26;27;28,3;1;13
g_g000769,G06,g000769,1;22;3;6,2023-06-04,2023-06-06,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,1;22;3;6,3;11;12
g_g000770,G06,g000770,21;27;3;4,2023-06-02,2023-06-04,자가용,충청권 방문/충청권 거주/39세 이하/부부/일반미션,21;27;3;4,3;4;21
